"recipe_id","user_id","title","description","image","difficulty","prep_time","instructions","creation_date","last_modification","portions"
"5f297a90-8464-45cc-a79b-40b27092a0bb","7fe653e8-87bf-448c-942e-e7421aac1800","Receta de ejemplo","Receta simple de ejemplo con ingredientes fáciles de conseguir.","/images/uploads/recipes/4f2b9c7d-8a5e-6d3b-7f4a-9e6c8d5f3a2b-plato-generico.jpg","MEDIA",15,"Primero, pelar las zanahorias y cortarlas en rodajas. |~| Luego, hervir agua con sal y agregar las zanahorias. |~| Cocinar por 10 minutos hasta que estén blandas. |~| Escurrir y servir.","2024-11-21 12:00:00.000","2024-11-21 12:00:00.000",4
"9c41ed00-bbd8-4f09-9b1c-6765102ab6f8","96c1f81f-c3cf-44a9-a48d-849b7cce7b50","Ensalada Vegana","Ensalada fresca y deliciosa, ideal para el verano.","/images/uploads/recipes/4f2b9c7d-8a5e-6d3b-7f4a-9e6c8d5f3a2b-plato-generico.jpg","FACIL",10,"Lavar bien las hojas de lechuga y tomate. |~| Cortar el tomate en rodajas finas. |~| Mezclar en un bol con el aguacate y añadir aceite de oliva y limón al gusto. |~| Servir frío.","2024-11-21 12:05:00.000","2024-11-21 12:05:00.000",2
"ab6d063b-e8d5-413d-b3a7-81f53f3fa7f5","5e5c6c80-90b2-4a4a-b5a0-ded62a1cda4e","Pasta al Pesto","Una receta sencilla y deliciosa con pesto casero.","/images/uploads/recipes/4f2b9c7d-8a5e-6d3b-7f4a-9e6c8d5f3a2b-plato-generico.jpg","MEDIA",20,"Cocer la pasta en agua con sal durante 10 minutos. |~| Mientras, preparar el pesto triturando albahaca, piñones, ajo, queso parmesano y aceite de oliva. |~| Mezclar la pasta con el pesto y servir.","2024-11-21 12:10:00.000","2024-11-21 12:10:00.000",3
"eab70c73-0f7d-45b9-b5e0-c6bfc9fecd5f","b45fdd9b-8f6a-4d97-b450-978f59c73f9c","Postre de Chocolate","Un delicioso postre de chocolate para los amantes del dulce.","/images/uploads/recipes/4f2b9c7d-8a5e-6d3b-7f4a-9e6c8d5f3a2b-plato-generico.jpg","ALTA",30,"Derretir el chocolate y mezclar con crema de leche. |~| Enfriar la mezcla en la nevera durante 2 horas. |~| Servir en pequeños recipientes con fruta fresca.","2024-11-21 12:15:00.000","2024-11-21 12:15:00.000",4
"dc4a2b8c-b7f1-493b-93b4-e3f9f0e68a70","78358893-fc9b-4ae6-8da7-978dfbd21cac","Tacos de Pollo","Deliciosos tacos con pollo marinado y salsa fresca.","/images/uploads/recipes/4f2b9c7d-8a5e-6d3b-7f4a-9e6c8d5f3a2b-plato-generico.jpg","MEDIA",20,"1. Marinar el pollo con ajo, limón y especias. |~| 2. Cocinar el pollo a la parrilla hasta que esté dorado. |~| 3. Calentar las tortillas y montar los tacos con pollo, cebolla, cilantro y salsa.","2024-11-20 09:30:00.000","2024-11-20 09:30:00.000",4
"1a52b3c9-d9c3-476d-bb69-e8ad5b5bce93","9c41ed00-bbd8-4f09-9b1c-6765102ab6f8","Ensalada Mediterránea","Una ensalada fresca con queso feta, aceitunas y pepino.","/images/uploads/recipes/4f2b9c7d-8a5e-6d3b-7f4a-9e6c8d5f3a2b-plato-generico.jpg","FACIL",10,"1. Lavar y cortar los ingredientes: pepino, tomate, cebolla y aceitunas. |~| 2. Mezclar todo en un bol y añadir queso feta desmenuzado. |~| 3. Aliñar con aceite de oliva, vinagre y sal.","2024-11-19 14:25:00.000","2024-11-19 14:25:00.000",2
"3c7a2b9a-8f42-44d4-a4cf-4ab63fa0b3fa","d27f6fe9-f1b5-4e84-bc91-9c6f75c1d951","Sopa de Lentejas","Una receta saludable y reconfortante de sopa de lentejas.","/images/uploads/recipes/4f2b9c7d-8a5e-6d3b-7f4a-9e6c8d5f3a2b-plato-generico.jpg","ALTA",40,"1. Hervir las lentejas en agua con caldo de pollo. |~| 2. Sofreír cebolla, ajo y zanahorias en aceite. |~| 3. Agregar las verduras a las lentejas y dejar cocinar. |~| 4. Añadir sal, pimienta y hierbas al gusto.","2024-11-18 16:45:00.000","2024-11-18 16:45:00.000",6
"df3a7d9c-b528-4892-8b33-b1ad0e3d8f89","b45fdd9b-8f6a-4d97-b450-978f59c73f9c","Paella Valenciana","La tradicional paella con mariscos y arroz.","/images/uploads/recipes/4f2b9c7d-8a5e-6d3b-7f4a-9e6c8d5f3a2b-plato-generico.jpg","EXPERTA",60,"1. Sofreír cebolla, ajo, pimiento y tomate en aceite. |~| 2. Añadir el arroz y mezclar bien con los sofritos. |~| 3. Agregar caldo de marisco, mariscos, y dejar cocinar a fuego lento. |~| 4. Dejar reposar antes de servir.","2024-11-17 08:15:00.000","2024-11-17 08:15:00.000",8
"9f4ac432-9e4d-4666-8fc3-f7d4ef7592f5","78358893-fc9b-4ae6-8da7-978dfbd21cac","Tarta de Manzana","Deliciosa tarta de manzana con masa crujiente y un toque de canela.","/images/uploads/recipes/4f2b9c7d-8a5e-6d3b-7f4a-9e6c8d5f3a2b-plato-generico.jpg","ALTA",45,"1. Precalentar el horno a 180°C. |~| 2. Preparar la masa y estirarla. |~| 3. Pelar las manzanas y cortar en rodajas finas. |~| 4. Colocar las manzanas sobre la masa y hornear por 40 minutos.","2024-11-18 14:30:00.000","2024-11-18 14:30:00.000",6
"ca1a9bb9-254b-4cd9-98fc-98f7a8c9f389","9c41ed00-bbd8-4f09-9b1c-6765102ab6f8","Sopa de Calabaza","Sopa cremosa de calabaza con un toque de jengibre y cúrcuma.","/images/uploads/recipes/4f2b9c7d-8a5e-6d3b-7f4a-9e6c8d5f3a2b-plato-generico.jpg","MEDIA",40,"1. Pelar y cortar la calabaza. |~| 2. Sofreír cebolla y ajo en una olla. |~| 3. Agregar la calabaza, jengibre, cúrcuma y caldo. |~| 4. Cocinar hasta que la calabaza esté tierna. |~| 5. Triturar y servir.","2024-11-21 10:00:00.000","2024-11-21 10:00:00.000",4
"85b540d4-0c73-4089-8647-0b0b33f3a1e9","78358893-fc9b-4ae6-8da7-978dfbd21cac","Tacos de Pescado","Tacos frescos con pescado empanizado, repollo y salsa de aguacate.","/images/uploads/recipes/4f2b9c7d-8a5e-6d3b-7f4a-9e6c8d5f3a2b-plato-generico.jpg","ALTA",30,"1. Empanizar el pescado y freírlo. |~| 2. Preparar la salsa de aguacate. |~| 3. Calentar las tortillas. |~| 4. Armar los tacos con pescado, repollo, salsa y cilantro.","2024-11-20 16:45:00.000","2024-11-20 16:45:00.000",4
"e118ecfb-8fbb-4742-973b-7e11a82d7cd2","eecb57e4-1cd5-4ab1-8178-496ca0a8eed9","Ensalada César","Ensalada con lechuga, pollo a la parrilla, crutones y aderezo César.","/images/uploads/recipes/4f2b9c7d-8a5e-6d3b-7f4a-9e6c8d5f3a2b-plato-generico.jpg","FACIL",20,"1. Cortar la lechuga y el pollo. |~| 2. Tostar los crutones. |~| 3. Mezclar los ingredientes con el aderezo César. |~| 4. Servir y decorar con queso parmesano.","2024-11-19 14:00:00.000","2024-11-19 14:00:00.000",2
"334e2b0f-2754-4179-b2a3-3540c816a1dc","78358893-fc9b-4ae6-8da7-978dfbd21cac",Pasta Carbonara,"
¡Disfruta de un delicioso clásico italiano con esta receta de pasta carbonara! 🍝 Con un toque cremoso y lleno de sabor, esta pasta es perfecta para una comida rápida y reconfortante. La mezcla de huevos, queso parmesano y panceta crujiente crea una salsa suave y rica, que se adhiere perfectamente a cada bocado de espagueti. Fácil de preparar en pocos minutos, este plato se convertirá en uno de tus favoritos para cualquier ocasión. ¡Ideal para compartir con amigos o familia y disfrutar de un pedazo de Italia en tu mesa! 🌿",/images/uploads/recipes/da124dc3-40e9-475c-a5a2-4e22ba1820de_salsa-carbonara.jpg,MEDIA,40,"Preparar los ingredientes: Ralla el queso parmesano, corta la panceta o tocino en cubos pequeños y, en un bol, mezcla las yemas de huevo, el huevo entero y el queso rallado hasta obtener una mezcla homogénea. Reserva.|~|Cocinar la pasta: Hierve agua con sal en una olla grande, cocina la pasta según las instrucciones del paquete (al dente, aproximadamente 8-10 minutos) y reserva una taza del agua de cocción antes de escurrirla.|~|Saltear la panceta: Calienta el aceite de oliva en una sartén a fuego medio, añade la panceta o tocino y cocina hasta que esté dorado y crujiente, removiendo ocasionalmente. Retira la sartén del fuego y deja enfriar ligeramente.|~|Combinar la pasta con la mezcla de huevos: Escurre la pasta y agrégala a la sartén con la panceta (sin calor directo), añade la mezcla de huevos y queso y revuelve rápidamente hasta que la pasta quede bien cubierta. Si es necesario, incorpora un poco del agua de cocción reservada para ajustar la textura.|~|Ajustar los sabores y servir: Agrega pimienta negra molida al gusto, verifica si hace falta más sal y sirve de inmediato en platos individuales, espolvoreando queso parmesano adicional y más pimienta si lo deseas. ¡Listo para disfrutar!",2024-11-21 12:01:51.008,2024-11-21 12:01:51.008,4
